hour_of_day,member_casual,number_of_rides
0,casual,3049
0,member,2891
1,casual,2148
1,member,1722
2,casual,1362
2,member,1021
3,casual,693
3,member,676
4,casual,501
4,member,827
5,casual,1173
5,member,3893
6,casual,2434
6,member,10980
7,casual,4497
7,member,20026
8,casual,6461
8,member,24364
9,casual,6397
9,member,16151
10,casual,8205
10,member,13992
11,casual,10686
11,member,16684
12,casual,12656
12,member,19257
13,casual,13156
13,member,19377
14,casual,13701
14,member,19388
15,casual,14728
15,member,23819
16,casual,17268
16,member,33194
17,casual,19037
17,member,38824
18,casual,16521
18,member,29678
19,casual,12463
19,member,21464
20,casual,9539
20,member,15306
21,casual,7259
21,member,11133
22,casual,6074
22,member,7698
23,casual,4001
23,member,4714
