hour_of_day,day_name,member_casual,number_of_rides
0,Sunday,casual,741
0,Sunday,member,662
0,Monday,casual,321
0,Monday,member,337
0,Tuesday,casual,189
0,Tuesday,member,238
0,Wednesday,casual,252
0,Wednesday,member,248
0,Thursday,casual,372
0,Thursday,member,322
0,Friday,casual,409
0,Friday,member,423
0,Saturday,casual,765
0,Saturday,member,661
1,Sunday,casual,494
1,Sunday,member,404
1,Monday,casual,313
1,Monday,member,248
1,Tuesday,casual,129
1,Tuesday,member,117
1,Wednesday,casual,173
1,Wednesday,member,131
1,Thursday,casual,183
1,Thursday,member,134
1,Friday,casual,256
1,Friday,member,207
1,Saturday,casual,600
1,Saturday,member,481
2,Sunday,casual,386
2,Sunday,member,279
2,Monday,casual,208
2,Monday,member,160
2,Tuesday,casual,68
2,Tuesday,member,64
2,Wednesday,casual,77
2,Wednesday,member,60
2,Thursday,casual,95
2,Thursday,member,89
2,Friday,casual,154
2,Friday,member,127
2,Saturday,casual,374
2,Saturday,member,242
3,Sunday,casual,214
3,Sunday,member,155
3,Monday,casual,75
3,Monday,member,83
3,Tuesday,casual,45
3,Tuesday,member,60
3,Wednesday,casual,71
3,Wednesday,member,81
3,Thursday,casual,48
3,Thursday,member,72
3,Friday,casual,81
3,Friday,member,81
3,Saturday,casual,159
3,Saturday,member,144
4,Sunday,casual,134
4,Sunday,member,117
4,Monday,casual,66
4,Monday,member,115
4,Tuesday,casual,44
4,Tuesday,member,111
4,Wednesday,casual,57
4,Wednesday,member,131
4,Thursday,casual,42
4,Thursday,member,110
4,Friday,casual,55
4,Friday,member,136
4,Saturday,casual,103
4,Saturday,member,107
5,Sunday,casual,129
5,Sunday,member,177
5,Monday,casual,180
5,Monday,member,684
5,Tuesday,casual,172
5,Tuesday,member,756
5,Wednesday,casual,210
5,Wednesday,member,807
5,Thursday,casual,176
5,Thursday,member,672
5,Friday,casual,184
5,Friday,member,612
5,Saturday,casual,122
5,Saturday,member,185
6,Sunday,casual,193
6,Sunday,member,361
6,Monday,casual,336
6,Monday,member,1871
6,Tuesday,casual,404
6,Tuesday,member,2106
6,Wednesday,casual,462
6,Wednesday,member,2462
6,Thursday,casual,404
6,Thursday,member,2053
6,Friday,casual,398
6,Friday,member,1607
6,Saturday,casual,237
6,Saturday,member,520
7,Sunday,casual,306
7,Sunday,member,584
7,Monday,casual,643
7,Monday,member,3194
7,Tuesday,casual,770
7,Tuesday,member,3978
7,Wednesday,casual,889
7,Wednesday,member,4758
7,Thursday,casual,766
7,Thursday,member,3884
7,Friday,casual,650
7,Friday,member,2661
7,Saturday,casual,473
7,Saturday,member,967
8,Sunday,casual,577
8,Sunday,member,1026
8,Monday,casual,887
8,Monday,member,3819
8,Tuesday,casual,971
8,Tuesday,member,4453
8,Wednesday,casual,1214
8,Wednesday,member,5665
8,Thursday,casual,1020
8,Thursday,member,4836
8,Friday,casual,900
8,Friday,member,2954
8,Saturday,casual,892
8,Saturday,member,1611
9,Sunday,casual,1014
9,Sunday,member,1713
9,Monday,casual,779
9,Monday,member,2126
9,Tuesday,casual,656
9,Tuesday,member,2231
9,Wednesday,casual,800
9,Wednesday,member,3032
9,Thursday,casual,817
9,Thursday,member,2648
9,Friday,casual,867
9,Friday,member,2112
9,Saturday,casual,1464
9,Saturday,member,2289
10,Sunday,casual,1523
10,Sunday,member,2164
10,Monday,casual,917
10,Monday,member,1646
10,Tuesday,casual,693
10,Tuesday,member,1571
10,Wednesday,casual,915
